datum_dolaska,ukupan_broj_gostiju,broj_djece_gostiju,broj_odraslih_gostiju
2016-01-01,183,21,162
2016-01-02,487,5,482
2016-01-03,212,7,205
2016-01-04,258,3,255
2016-01-05,185,3,182
2016-01-06,185,7,178
2016-01-07,211,13,198
2016-01-08,208,7,201
2016-01-09,202,13,189
2016-01-10,169,1,168
2016-01-11,187,11,176
2016-01-12,207,12,195
2016-01-13,241,15,226
2016-01-14,288,22,266
2016-01-15,275,23,252
2016-01-16,252,14,238
2016-01-17,181,3,178
2016-01-18,198,13,185
2016-01-19,275,5,270
2016-01-20,246,6,240
2016-01-21,208,5,203
2016-01-22,324,4,320
2016-01-23,233,16,217
2016-01-24,188,9,179
2016-01-25,263,8,255
2016-01-26,223,2,221
2016-01-27,266,1,265
2016-01-28,249,20,229
2016-01-29,287,14,273
2016-01-30,189,10,179
2016-01-31,127,2,125
2016-02-01,97,10,87
2016-02-02,104,4,100
2016-02-03,134,5,129
2016-02-04,171,5,166
2016-02-05,249,17,232
2016-02-06,441,28,413
2016-02-07,263,14,249
2016-02-08,180,24,156
2016-02-09,141,6,135
2016-02-10,140,7,133
2016-02-11,194,15,179
2016-02-12,594,16,578
2016-02-13,375,19,356
2016-02-14,208,16,192
2016-02-15,160,13,147
2016-02-16,128,1,127
2016-02-17,547,2,545
2016-02-18,149,10,139
2016-02-19,407,6,401
2016-02-20,213,10,203
2016-02-21,215,14,201
2016-02-22,189,15,174
2016-02-23,118,8,110
2016-02-24,195,11,184
2016-02-25,287,15,272
2016-02-26,492,15,477
2016-02-27,397,28,369
2016-02-28,264,9,255
2016-02-29,163,6,157
2016-03-01,123,3,120
2016-03-02,154,4,150
2016-03-03,103,3,100
2016-03-04,253,3,250
2016-03-05,151,2,149
2016-03-06,66,4,62
2016-03-07,153,1,152
2016-03-08,112,5,107
2016-03-09,183,3,180
2016-03-10,87,1,86
2016-03-11,191,9,182
2016-03-12,171,9,162
2016-03-13,117,11,106
2016-03-14,117,1,116
2016-03-15,110,0,110
2016-03-16,114,0,114
2016-03-17,214,11,203
2016-03-18,199,15,184
2016-03-19,293,24,269
2016-03-20,213,17,196
2016-03-21,193,11,182
2016-03-22,136,4,132
2016-03-23,146,16,130
2016-03-24,476,42,434
2016-03-25,237,22,215
2016-03-26,113,4,109
2016-03-27,139,15,124
2016-03-28,228,18,210
2016-03-29,136,14,122
2016-03-30,177,11,166
2016-03-31,294,5,289
2016-04-01,99,6,93
2016-04-02,117,8,109
2016-04-03,119,12,107
2016-04-04,233,12,221
2016-04-05,106,5,101
2016-04-06,218,5,213
2016-04-07,239,5,234
2016-04-08,180,8,172
2016-04-09,254,6,248
2016-04-10,129,6,123
2016-04-11,215,12,203
2016-04-12,164,2,162
2016-04-13,179,4,175
2016-04-14,172,4,168
2016-04-15,161,4,157
2016-04-16,208,12,196
2016-04-17,152,6,146
2016-04-18,250,8,242
2016-04-19,176,3,173
2016-04-20,162,4,158
2016-04-21,114,3,111
2016-04-22,313,8,305
2016-04-23,234,24,210
2016-04-24,205,15,190
2016-04-25,185,7,178
2016-04-26,201,8,193
2016-04-27,184,1,183
2016-04-28,250,13,237
2016-04-29,342,17,325
2016-04-30,306,16,290
2016-05-01,208,19,189
2016-05-02,335,26,309
2016-05-03,169,7,162
2016-05-04,200,18,182
2016-05-05,248,11,237
2016-05-06,217,12,205
2016-05-07,269,12,257
2016-05-08,240,14,226
2016-05-09,194,8,186
2016-05-10,208,8,200
2016-05-11,209,9,200
2016-05-12,441,16,425
2016-05-13,276,21,255
2016-05-14,292,19,273
2016-05-15,274,13,261
2016-05-16,342,17,325
2016-05-17,253,8,245
2016-05-18,214,12,202
2016-05-19,246,15,231
2016-05-20,274,27,247
2016-05-21,294,13,281
2016-05-22,194,4,190
2016-05-23,204,14,190
2016-05-24,228,19,209
2016-05-25,229,13,216
2016-05-26,241,25,216
2016-05-27,173,19,154
2016-05-28,256,13,243
2016-05-29,165,11,154
2016-05-30,256,14,242
2016-05-31,229,16,213
2016-06-01,248,8,240
2016-06-02,428,8,420
2016-06-03,335,20,315
2016-06-04,287,7,280
2016-06-05,242,12,230
2016-06-06,310,13,297
2016-06-07,258,8,250
2016-06-08,306,9,297
2016-06-09,379,13,366
2016-06-10,327,19,308
2016-06-11,229,12,217
2016-06-12,381,27,354
2016-06-13,293,10,283
2016-06-14,284,13,271
2016-06-15,333,11,322
2016-06-16,281,24,257
2016-06-17,497,22,475
2016-06-18,269,10,259
2016-06-19,260,13,247
2016-06-20,402,10,392
2016-06-21,271,19,252
